# Missing districts GEOIDs (for geometry lookup)
36005001903 # Census Tract 19.03; Bronx County; New York
36005005100 # Census Tract 51; Bronx County; New York
36005006100 # Census Tract 61; Bronx County; New York
36005006302 # Census Tract 63.02; Bronx County; New York
36005007100 # Census Tract 71; Bronx County; New York
36005007500 # Census Tract 75; Bronx County; New York
36005009200 # Census Tract 92; Bronx County; New York
36005009600 # Census Tract 96; Bronx County; New York
36005011502 # Census Tract 115.02; Bronx County; New York
36005011800 # Census Tract 118; Bronx County; New York
36005011900 # Census Tract 119; Bronx County; New York
36005012300 # Census Tract 123; Bronx County; New York
36005013800 # Census Tract 138; Bronx County; New York
36005016700 # Census Tract 167; Bronx County; New York
36005016900 # Census Tract 169; Bronx County; New York
36005017100 # Census Tract 171; Bronx County; New York
36005017702 # Census Tract 177.02; Bronx County; New York
36005018101 # Census Tract 181.01; Bronx County; New York
36005018301 # Census Tract 183.01; Bronx County; New York
36005018302 # Census Tract 183.02; Bronx County; New York
36005019300 # Census Tract 193; Bronx County; New York
36005019400 # Census Tract 194; Bronx County; New York
36005019500 # Census Tract 195; Bronx County; New York
36005019700 # Census Tract 197; Bronx County; New York
36005019900 # Census Tract 199; Bronx County; New York
36005020000 # Census Tract 200; Bronx County; New York
36005020601 # Census Tract 206.01; Bronx County; New York
36005021800 # Census Tract 218; Bronx County; New York
36005022000 # Census Tract 220; Bronx County; New York
36005022403 # Census Tract 224.03; Bronx County; New York
36005023501 # Census Tract 235.01; Bronx County; New York
36005023502 # Census Tract 235.02; Bronx County; New York
36005023704 # Census Tract 237.04; Bronx County; New York
36005024000 # Census Tract 240; Bronx County; New York
36005025600 # Census Tract 256; Bronx County; New York
36005025700 # Census Tract 257; Bronx County; New York
36005027402 # Census Tract 274.02; Bronx County; New York
36005027600 # Census Tract 276; Bronx County; New York
36005028400 # Census Tract 284; Bronx County; New York
36005028900 # Census Tract 289; Bronx County; New York
36005029302 # Census Tract 293.02; Bronx County; New York
36005029700 # Census Tract 297; Bronx County; New York
36005033000 # Census Tract 330; Bronx County; New York
36005033201 # Census Tract 332.01; Bronx County; New York
36005033202 # Census Tract 332.02; Bronx County; New York
36005033500 # Census Tract 335; Bronx County; New York
36005033801 # Census Tract 338.01; Bronx County; New York
36005033802 # Census Tract 338.02; Bronx County; New York
36005035600 # Census Tract 356; Bronx County; New York
36005036000 # Census Tract 360; Bronx County; New York
36005036400 # Census Tract 364; Bronx County; New York
36005036800 # Census Tract 368; Bronx County; New York
36005037200 # Census Tract 372; Bronx County; New York
36005037800 # Census Tract 378; Bronx County; New York
36005038301 # Census Tract 383.01; Bronx County; New York
36005039400 # Census Tract 394; Bronx County; New York
36005039600 # Census Tract 396; Bronx County; New York
36005041400 # Census Tract 414; Bronx County; New York
36005041800 # Census Tract 418; Bronx County; New York
36005043501 # Census Tract 435.01; Bronx County; New York
36047000200 # Census Tract 2; Kings County; New York
36047000900 # Census Tract 9; Kings County; New York
36047001100 # Census Tract 11; Kings County; New York
36047001300 # Census Tract 13; Kings County; New York
36047001803 # Census Tract 18.03; Kings County; New York
36047001804 # Census Tract 18.04; Kings County; New York
36047002100 # Census Tract 21; Kings County; New York
36047002200 # Census Tract 22; Kings County; New York
36047003300 # Census Tract 33; Kings County; New York
36047003400 # Census Tract 34; Kings County; New York
36047003500 # Census Tract 35; Kings County; New York
36047003700 # Census Tract 37; Kings County; New York
36047003900 # Census Tract 39; Kings County; New York
36047004300 # Census Tract 43; Kings County; New York
36047004700 # Census Tract 47; Kings County; New York
36047005602 # Census Tract 56.02; Kings County; New York
36047006901 # Census Tract 69.01; Kings County; New York
36047007000 # Census Tract 70; Kings County; New York
36047007700 # Census Tract 77; Kings County; New York
36047008600 # Census Tract 86; Kings County; New York
36047009201 # Census Tract 92.01; Kings County; New York
36047010000 # Census Tract 100; Kings County; New York
36047010200 # Census Tract 102; Kings County; New York
36047011901 # Census Tract 119.01; Kings County; New York
36047012801 # Census Tract 128.01; Kings County; New York
36047012901 # Census Tract 129.01; Kings County; New York
36047013100 # Census Tract 131; Kings County; New York
36047013300 # Census Tract 133; Kings County; New York
36047013500 # Census Tract 135; Kings County; New York
36047015100 # Census Tract 151; Kings County; New York
36047015300 # Census Tract 153; Kings County; New York
36047015500 # Census Tract 155; Kings County; New York
36047015900 # Census Tract 159; Kings County; New York
36047016200 # Census Tract 162; Kings County; New York
36047016400 # Census Tract 164; Kings County; New York
36047016500 # Census Tract 165; Kings County; New York
36047016700 # Census Tract 167; Kings County; New York
36047016900 # Census Tract 169; Kings County; New York
